address,agent_name,agent_url,available,balcony,city,construction_type,deposit,description,district,dwelling_type,energy_rating,house_name,house_url,interior,living_area_m2,maximum_months,minimum_months,number_of_bathrooms,number_of_bedrooms,number_of_rooms,offered_since,pets_allowed,price,property_type,rental_agreement,service_cost,smoking_allowed,status,year_of_construction
5701 SM (Centrum),Lemon Suites,https://www.pararius.com/real-estate-agents/eindhoven/lemon-suites,01-02-2025,Present,Helmond,Existing building,,"Description 

                                                         Nice apartment with balcony for rent in Helmond with 1 bedroom in the Centrum district.",Centrum,Flat,A+++,For rent: Flat Oostende 281,https://www.pararius.com/apartment-for-rent/helmond/84e140a4/oostende,,47.0,,,1,1,2,30-12-2024,,1073.0,Staircase-accessed flat,,,,For rent,2023
5622 AK (Kronehoef),Lemon Suites,https://www.pararius.com/real-estate-agents/eindhoven/lemon-suites,01-02-2025,Present,Eindhoven,Existing building,,"Description 

                                                         Beautiful apartment with balcony for rent in Eindhoven with 2 bedrooms in the Kronehoef district.",Kronehoef,Flat,A++,For rent: Flat Egelstraat 100,https://www.pararius.com/apartment-for-rent/eindhoven/36b8300b/egelstraat,,78.0,,,1,2,3,30-12-2024,,1375.0,Gallery flat,,,,For rent,2022
6286 CE (Nijswiller),Comfycorner,https://www.pararius.com/real-estate-agents/wittem/comfycorner,06-01-2025,Not present,Wittem,Existing building,2800.0,"Description 

                                                         Have you ever dreamed of living in a medieval castle, but with all the modern comforts? Welcome to Kolmonderstraat 22, a fully renovated home on the enchanting grounds of Nijswiller Castle in Wittem. Picture yourself waking up to stunning views of the historic castle, taking peaceful walks with a cup of coffee by the river in your backyard and its charming stone bridge, while enjoying access to the beautiful and private castle grounds. 
 This spacious 71 m² home offers 2 bedrooms with AC and 1 bathroom (including 1 bathtub, 1 shower and 1 toilet), perfect for small families and professionals who seek a balance of character and modernity. With underfloor heating, energy label A, and practical amenities, you'll be living the dream of castle life with all the conveniences of a well-equipped home. 
 Nijswiller is located minutes drive from the highway and 10 minutes from Aachen (near the RWTH Campus / Klinikum). The location is central ‘Heuvelland’ (land of hills), a touristic destination in the Netherlands. Minutes walk to public transport. 
 Key details: 
 Rent: €1350 per month (plus €100 for electricity and €150 for service costs, which include underfloor heating, hot water, internet, park lighting, and park maintenance). 
 Deposit: 2 months' rent. 
 Energy label: A 
 Airconditioning: A+++ in every room. 
 Outdoor space: small private garden. Castle grounds, and on-site parking. 
 Availability: immediately. 
 Pet policy: Cats allowed (no dogs). 
 Smoking: non smoking. 
 EV charging: available on request. 
 Minimum stay: 12 months. 
 Furnishing: unfurnished. 
 No home sharers. 
 You’ll have plenty of privacy while being part of a friendly international expat community. Ideal for working professionals. This is your chance to live in a unique and magical setting, combining history and comfort in one of the most charming locations in the Netherlands! 
 The non-binding information shown on this website has been compiled by us (with care). We do not guarantee its accuracy or completeness. We advise you and/or your estate agent to contact us if you are interested in one of our properties. We are not responsible for the content of websites referred to.",Nijswiller,Flat,A,For rent: Flat Kolmonderstraat,https://www.pararius.com/apartment-for-rent/wittem/9853c796/kolmonderstraat,Upholstered,71.0,,12,1,2,3,30-12-2024,Yes,1350.0,"Downstairs apartment, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1750
5622 AK (Kronehoef),Lemon Suites,https://www.pararius.com/real-estate-agents/eindhoven/lemon-suites,01-02-2025,Present,Eindhoven,Existing building,,"Description 

                                                         Beautiful apartment with balcony for rent in Eindhoven with 2 bedrooms in the Kronehoef district.",Kronehoef,Flat,A+++,For rent: Flat Egelstraat 60,https://www.pararius.com/apartment-for-rent/eindhoven/6e1442e2/egelstraat,,78.0,,,1,2,3,30-12-2024,,1375.0,Gallery flat,,,,For rent,2022
5111 HD (Buitengebied Baarle-Nassau),123Wonen Tilburg,https://www.pararius.com/real-estate-agents/tilburg/123wonen-tilburg,06-01-2025,,Baarle-Nassau,Existing building,,"Description 

                                                         Description 
 123Wonen Tilburg, The rental agent offers; 
 Park de Kievit Koekoeklaan in Baarle Nassau 
 Edelweis furnished holiday home on a beautiful corner plot. 
 Geen arbeidsmigranten toegestaan/no foreign workers allowed. 
Wel expats toegestaan 
https:****** 
 Entrance, toilet room, technical room, 3 bedrooms, living room with open kitchen, bathroom with bath, shower, sink and toilet. 
 Located in the unique enclave village of Baarle-Nassau/Hertog where the Netherlands and Belgium are completely intertwined. An environment with many opportunities for cycling and walking tours. In the wooded park you can enjoy the peace, privacy and beautiful surroundings. 
 Parc De Kievit features a restaurant. Here you can enjoy a drink on the terrace or eat a simple meal. The dishes on the menu are tasty and affordable. 
 At Parc De Kievit you can use professional artificial grass tennis courts. You will also find a jeu-de-boules court, a miniature golf course and a curling rink between the trees. 
 Do you prefer to play golf? The beautiful 18-hole golf course of golf club Midden-Brabant is located on the 'Utrecht' estate in Esbeek. The course is only 15 minutes by car from Parc De Kievit, in a beautiful wooded area. 
 The surroundings of Parc De Kievit are also very suitable for walking or cycling. Rental bicycles and scooters can be reserved at the reception of the parc. 
 Parc De Kievit has a heated outdoor swimming pool and a paddling pool. There are showers and toilets available. Benches have been placed around the pool so that parents can easily keep an eye on their swimming children. Enjoy a terrace while your children are in the pool? Then you can. The swimming pool is right next to the Tarverne terrace. 
 General: 
 Rental price furnished € 1250,- per month excluding g/w/e/internet 
 Advance g/w/e € 225,- per month 
 Deposit is 1 x the monthly rent, namely € 1475,- 
 Rental contract of 6 months, extension is possible. 
 Feel free to contact us for a free visit. Mail to ****** 
 Always look on our website ****** for our current offers. 
 At 123Wonen you can directly sign up for free and unlimited house search",Buitengebied Baarle-Nassau,House,C,For rent: House Kievit,https://www.pararius.com/house-for-rent/baarle-nassau/c96e7e1f/kievit,Furnished,72.0,,,1,3,4,30-12-2024,,1250.0,"Detached house, Family home",,,,For rent,
2012 NL (Bosch en Vaart),Rotsvast Haarlem,https://www.pararius.com/real-estate-agents/haarlem/rotsvast-haarlem,06-01-2025,Not present,Haarlem,Existing building,9000.0,"Description 

                                                         A very nice, spacious and luxurious penthouse (170m2) with 3 bedrooms, 2 bathrooms, 2 private parking places in the garage underneath and a privatized elevator. Located in Residence Hofstede Bosch en Vaart with a free view over the woods (Haarlemmerhout) and close to public transport, shops and city center. Ground-plan; entrance, vestibule (2,45x1), spacious hall (8x1,40) with lots of build-in cupboards. Luxurious living-cum-kitchen (5x3,86) with a dishwasher, 5-jets induction cookerplate, cooking-hood, 2 ovens, fridge, freezer and sliding door to a large roofterrace (11,5x3) South facing with an electric sunblind. Bedroom (4,36x4,1) with a singlebed, large wardrobe and access to a private bathroom (3,3x1,53) with a shower, toilet, washbasin and toweldrier. Spacious living (9,55x6) with high ceiling and sliding doors/ access to balcony on both sides. L-shaped hall (3x1,3+2,2x1,18), toilet (1,33x0,97) with washbasin. Masterbedroom (5,95x4) with electric adjustable double bed, large build-in wardrobe and sliding door to balcony. Bathroom (2,63x2,36) with a bath, double washbasin, shower and toweldrier. Study/guestroom (3,67x3,5) with a desk, large build-in wardrobe and sliding door to balcony. Utility (3,8x1,68) with washing-machine, drier and storage. Outside storage on the Westside of the balcony for chairs/bbq. Spacious bicycle storage in the basement and 2 private parking places. This penthouse has wooden flooring throughout, all rooms have acces to the balcony/roofterrace, all windows have electric screens, alarm set-up available and the energylabel is B.",Bosch en Vaart,Flat,B,For rent: Flat Wagenweg,https://www.pararius.com/apartment-for-rent/haarlem/cd347263/wagenweg,Furnished,170.0,,,2,3,4,30-12-2024,No,4500.0,"Penthouse, Apartment",Unlimited period,Excludes: Service costs,No,For rent,2005
2641 JR (Pijnacker-Centrum/Dorp),Max Makelaars,https://www.pararius.com/real-estate-agents/rotterdam/max-makelaars,01-02-2025,Present,Pijnacker,Existing building,,"Description 

                                                         From 1 February 2025, we have Stationsplein 21 in Pijnacker available.  
 It concerns a 3-room flat, situated on the second floor with balcony (facing South-West). The rent is € 1,450 and € 80 service costs per month (excluding gas/water/electricity). The rental agreement is entered into for a minimum of 1 year. The deposit is at least 2 times the monthly rent + service costs (this may vary).  
 If you are interested, please submit the application form (available from us) with ALL documents as soon as possible: 
-Copy of identity card 
-Employer's statement (recent) 
-Copy of the three most recent salary slips (July, August and September) 
-Copy of the three most recent bank statements showing payment of salary, benefits, pension, etc. (December, November and October) 
-Extract from the population register (recent) 
-In case of retirement or benefits, please provide your latest annual statement 
-A statement from your current mortgage lender or landlord (landlord statement of good conduct) 
-If you own your own business, you must provide a balance sheet, profit and loss account for the most recent full year, an auditor's statement and a recent extract from the Chamber of Commerce register (max. 1 month old).  
 Income requirements 
Please take into account the income requirement before registering. You must meet the standard below if you wish to be considered for housing. The income standard is as follows: Gross monthly income must be at least four times the monthly rent. 
 Equity 
To perhaps better meet the income requirement, you can add 10% of any equity to your gross annual income. In that case, you should be able to prove the equity by means of a copy of a bank statement or the like. 
 The images in the presentation are of a similar flat and give a picture. No rights can be derived from these. 
 Translated with ****** (free version)",Pijnacker-Centrum/Dorp,Flat,A,For rent: Flat Stationsplein,https://www.pararius.com/apartment-for-rent/pijnacker/88d36794/stationsplein,,80.0,,,1,2,3,30-12-2024,,1450.0,"Upstairs apartment, Apartment",,Excludes: Service costs,,For rent,2016
1013 HC (Haarlemmerbuurt),Amstelland Makelaars,https://www.pararius.com/real-estate-agents/amsterdam/amstelland-makelaars,,Not present,Amsterdam,Existing building,6450.0,"Description 

                                                         For rent in Amsterdam city centre (Brouwersgracht) 
 In one of the most charming and historical parts of Amsterdam, on the iconic Brouwersgracht canal, is this unique apartment of approx. 120 m2 with two bedrooms in a former warehouse.  
 ENVIRONMENT: 
The Brouwersgracht is known for its historic appearance and cosy atmosphere. You live here in the heart of Amsterdam, with the Jordaan and Haarlemmerstraat within walking distance. A wide variety of cosy cafés, restaurants, terraces and boutiques are nearby.  
 On Saturdays and Mondays, there are three markets within walking distance (Lindengracht, Noordermarkt and Lapjesmarkt). Westerpark is just around the corner with lots of greenery and a rich cultural offer. Public transport is excellent, with several tram and bus stops nearby and Central Station a short distance away. There are also good connections to the A10 ring road, making the apartment ideal for commuting. 
 GLOBAL LAYOUT: 
Via shared entrance and stairs to the first floor, you enter the spacious and bright living room via a private entrance. The wooden floor, combined with the authentic ceiling beams, exudes history and character. The open-plan kitchen makes it an ideal place for both relaxing and receiving guests. From the living room you can access a quiet patio, a perfect place to enjoy a cup of coffee or a good book. Adjacent to the patio is a cosy bedroom, which can also ideally serve as an office or guest room.  
 On this floor, you will also find a separate toilet and generous closet space, adding to practical living comfort. Recently, all dark window frames around the patio and doors have been painted white.  
 A staircase leads to the ground floor, where you will find the spacious master bedroom. This room offers plenty of privacy and tranquillity and is also adjacent to a small outdoor area. The modern bathroom on this floor is luxuriously finished and features a bathtub, a walk-in shower and a second toilet. The apartment also features an entrance via the ground floor and there is a shared bicycle storage room.  
 PARTICULARS:  
 
 Popular location on the historic Brouwersgracht; 
 spacious apartment of approx. 120 m2; 
 two bedrooms 
 no less than two spacious outdoor areas 
 recently painted; 
 modern bathroom with bath, walk-in shower and toilet; 
 shared bicycle shed; 
 unfurnished; 
 available immediately; 
 12 months minimum availability; 
 deposit is equal to two months rent; 
 sharers and guarantors are not allowed; 
 income requirement 3 times the monthly rent (gross salary). 
 
 For more information or to make a viewing appointment, please contact our office. Our staff will be happy to assist you. This apartment is offered in accordance with article 7:17 paragraph 6 of the Civil Code. The specified features are only meant as an indication.",Haarlemmerbuurt,Flat,F,For rent: Flat Brouwersgracht 192 C,https://www.pararius.com/apartment-for-rent/amsterdam/119a18c1/brouwersgracht,Upholstered,120.0,,,1,2,3,30-12-2024,,3250.0,"Upstairs apartment, Apartment",,Includes: Service costs,,For rent,1632
1079 DC (Scheldebuurt),The Rental Agency Amsterdam,https://www.pararius.com/real-estate-agents/amsterdam/the-rental-agency-amsterdam,06-01-2025,Present,Amsterdam,Existing building,5300.0,"Description 

                                                         THE APARTMENT IS NOT SUITABLE FOR SHARING 
We offer this apartment with two bedrooms and a lovely balcony, located in the Rivierenbuurt. 
 LAYOUT 
The apartment is accessible via the communal staircase and is located on the first floor. From the hallway, you enter the living room, which offers a view over Uiterwaardenstraat. The kitchen is equipped with modern appliances, including a fridge, freezer, dishwasher, gas stove, microwave, and oven. The apartment has two bedrooms, both of which open onto the balcony. The sleek bathroom features a double sink unit, a walk-in shower, and a bathtub. Additionally, the apartment has built-in storage space, perfect for storing items. 
 AREA 
The apartment is located in the desirable Rivierenbuurt in Amsterdam. This neighborhood is known for its quiet atmosphere and offers many amenities, including shops, supermarkets, cafés, and restaurants, mainly found along the nearby Maasstraat and Rijnstraat. Amstelpark and the Amstel River are also ideal for leisure activities. Public transport connections are excellent, with several tram and bus lines nearby and easy access to Amsterdam Amstel station. The main roads to the A10 ring highway are also easily reachable, making this a convenient location. 
 STREET NAME 
Uiterwaardenstraat is named after the floodplains of the rivers in the area. This street name fits the character of the Rivierenbuurt, where many street names are inspired by Dutch waterways. The neighborhood was mainly developed in the 1920s and 1930s and has since been known as a quiet and charming residential area. 
 This non-binding rental information has been compiled by our office with the utmost care based on the information provided to us by the landlord. Therefore, we cannot provide any guarantees, nor can we accept any liability for this information in any way. All dimensions are indicative and The Rental Agency Amsterdam accepts no liability for deviations.",Scheldebuurt,Flat,D,For rent: Flat Uiterwaardenstraat 344 1,https://www.pararius.com/apartment-for-rent/amsterdam/3249a6b4/uiterwaardenstraat,Shell,83.0,,,1,2,3,30-12-2024,,2650.0,"Mezzanine, Apartment",,,,For rent,1932
1402 NE (Cereslaan),Casarent Real Estate Agency,https://www.pararius.com/real-estate-agents/huizen/casarent-real-estate-agency,01-02-2025,Not present,Bussum,Existing building,800.0,"Description 

                                                         The studio is  suitable for only one person , and the rent is €800 per month, including gas/water/electricity, TV, Internet, service charges, and municipal taxes. Available for rent from February 1, 2025. 
 Private entrance, living area with a sleeping corner and a small kitchenette equipped with an electric hotplate and mini fridge. Bathroom with shower and toilet. Shared use of the washing machine and dryer located in the storage room.",Cereslaan,Studio,B,For rent: Studio Oosterpad,https://www.pararius.com/studio-for-rent/bussum/d053ec12/oosterpad,Upholstered,30.0,,12,1,1,2,30-12-2024,No,800.0,Studio,Unlimited period,"Includes: Electricity, Gas, Internet, Service costs, Water",No,For rent,1906
9717 KN (Noorderplantsoenbuurt),Kovo Vastgoed,https://www.pararius.com/real-estate-agents/bakkeveen/kovo-vastgoed,01-02-2025,Not present,Groningen,,1400.0,"Description 

                                                         Beautiful and spacious room with high ceiling for rent. The room is approximately 26 m2 and there is also a large (shared) courtyard of approximately 35 m2, which is accessible from the kitchen. The communal kitchen has built-in appliances (stove, dishwasher, washing machine, refrigerator, etc.) and there is a bathroom with a separate toilet. You share the communal facilities with 3 other students. 
 The accomodation is situatied next to the Noorderplantsoen (city park) en is close to the universities. 
 The room is available from 01-02-2025. The rental price does not include service costs. The service costs are 150 euros per month (utilities, internet, taxes, insurance, minor maintenance, etc.). The rent is €700 per month all-in.",Noorderplantsoenbuurt,Room,,For rent: Room Noorderstationsstraat,https://www.pararius.com/room-for-rent/groningen/eb883bf5/noorderstationsstraat,Shell,26.0,,12,,,1,30-12-2024,No,550.0,,Unlimited period,Excludes: Service costs,No,For rent,
2132 HT (Hoofddorp Zuid),070Wonen,https://www.pararius.com/real-estate-agents/den-haag/070wonen,06-01-2025,,Hoofddorp,New development,,"Description 

                                                         DUDOKSTRAAT, HOOFDDORP, FURNISHED € 2750,- EXCLUDING ENERGY COSTS 
Fantastically located in a new-build complex furnished two-bedroom apartment. The house is near Schiphol and Amsterdam and is ideally located near the highways and public transport.   
 Entrance; elevator to the 6th floor, entrance apartment; hallway which provides access to all rooms, including the bright master bedroom and guest room which overlook the park located inside; separate room for the washing machine and dryer; bathroom with shower, sink and towel radiator; separate toilet; spacious living room with adjoining balcony and open kitchen; kitchen is equipped with induction hob, microwave/oven, Quooker, dishwasher, refrigerator, freezer and a separate wine climate cabinet in the peninsula.   
 Special features: 
House is newly delivered; 
WWS points 201; 
Bare rent 2685 euro 
Servicecost 65 euro 
Link to the 360 degrees pictures ******   
 DUDOKSTRAAT, HOOFDDORP, FURNISHED € 2750,- EXCLUDING ENERGY COSTS 
Fantastically located in a new-build complex furnished two-bedroom apartment. The house is near Schiphol and Amsterdam and is ideally located near the highways and public transport.   
 Entrance; elevator to the 6th floor, entrance apartment; hallway which provides access to all rooms, including the bright master bedroom and guest room which overlook the park located inside; separate room for the washing machine and dryer; bathroom with shower, sink and towel radiator; separate toilet; spacious living room with adjoining balcony and open kitchen; kitchen is equipped with induction hob, microwave/oven, Quooker, dishwasher, refrigerator, freezer and a separate wine climate cabinet in the peninsula.   
 Special features: 
House is newly delivered; 
WWS points 201; 
Bare rent 2685 euro 
Servicecost 65 euro 
Link to the 360 degrees pictures ******",Hoofddorp Zuid,Flat,A+,For rent: Flat Dudokstraat,https://www.pararius.com/apartment-for-rent/hoofddorp/0b54ded8/dudokstraat,Furnished,87.0,,,,,3,30-12-2024,,2750.0,Upstairs apartment,,Includes: Service costs,,For rent,2024
2521 SC (Laakhaven-Oost),Rental Rotterdam,https://www.pararius.com/real-estate-agents/rotterdam/rental-rotterdam,01-02-2025,Present,Den Haag,Existing building,2250.0,"Description 

                                                         THE HAGUE - LAAKKWARTIER: Beautiful 1 bedroom apartment, located on the third floor of the new complex GO070! The property is unfurnished and available as of 01-02-2025! 
  Interested? Please respond by the contact buttons next to this description  
 KEY FEATURES: 
•   Photos are of a similar apartment 
•   Property will be rented unfurnished 
•   Living area of approx. 61m2 
•   Pleasant layout 
•   Close to a wealth of amenities and transport links 
 AREA: 
At the Neherkade in The Hague you can now live fantastically in the GO Apartments. GO 070 is an apartment building with 268 rental apartments and many facilities that you can use as a resident. GO 070 is ideally located. You live here quietly, but with everything within reach. And that makes this building perfect for students, expats and young professionals. There are many facilities within walking distance and you are on the roads in no time. Need more city? GO! The Hague Station Hollands Spoor and the center are approximately 6 minutes by bike. 
 GO 070 has 16 floors. The imposing building makes a bold statement on the quay. Indoor living with the city in sight. 
GO Apartments has 57 parking spaces and 20 scooter parking spaces at ground level. You can park your bicycle in the bicycle shed on the 1st floor. Here you will also find the charging points for electric bicycles. 
There are all kinds of facilities in the building. You can enjoy the rooftop lounge on the 11th floor. How cool is that! From here you have a view of the city. There are intimate areas for lounging and sunbathing and there is room to celebrate the weekend together. There is room in the planters for collective urban farming. 
 You can also use a common study/lounge area on the 1st floor. You do your laundry in the launderette on the ground floor and there are bring-me boxes for your packages. Are we there yet? Almost. We arrange super fast WiFi for you and there is a concierge in the building. GO and enjoy! 
 Go to the project website ****** for more information! 
 GROUND FLOOR: 
Closed entrance with doorbells and mailboxes. 
 THIRD FLOOR: 
Private entrance, with access to a separate toilet and indoor storage room, where there is a washing machine connection 
Bright living room with open kitchen, equipped with an induction hob and a refrigerator with freezer. The living room provides acces to a spacious balcony. 
The spacious bedroom offers enough space for a double bed and a large wardrobe. 
From here there is access to the fully tiled bathroom with a double sink and walk-in shower. 
 OTHER FACILITIES: 
 
 GROUND FLOOR: bicycle storage, parking spaces for cars and scooters, bring me boxes, washing facilities. 
 FIRST FLOOR: lounge/study/work area. 
 ELEVENTH FLOOR: communal roof terrace. 
 
 •   Available as of 01-02-2025 
•   The mentioned price is including € 67,- service costs (including internet) 
•   The mentioned price is including € 114,- for advanced payment heating costs (electricity, city heating and water) 
•   The mentioned price is including € 30,- for flooring 
•   The apartment will be rented unfurnished 
•   Deposit equal to two months rent 
•   Housing permit is required. Check the municipality's website for more information 
•   Minimum rental period is 2 years 
•   Renting with guarantor is possible in consultation 
•   Housing allowance is not possible 
•   Pets and smoking not allowed 
•   Pictures are from a similar apartment 
•   Minimum income requirement is equal to 3,5 times the rent. As a couple, this is equal to 4,5 times the rent 
•   The property has an energy label A 
•   Annual rent increase, 1 year after the commencement date of the rental agreement according to CPI 
•   The most recent WOZ value of the property is € 270.000,00 
 No rights can be derived from the data and photos. The given characteristics are only meant as an indication. 
 INTERESTED?: 
•   The Rental Rotterdam Team is dedicated to helping you find the right home. 
•   Are you intrested and would you like to request a viewing? Please respond via the contact buttons next to the description of this property. 
•   We schedule viewings via an automated system. This is why you can only respond via the contact buttons on the websites. This way we can help  you better and faster. 
•   A rental agent will then get back to you as soon as possible. 
•   If you have any questions or need advice, please also respond by the contact buttons next to this description or send us an e-mail. Our rental agents will be happy to assist you. 
•   Thanks for your understanding and cooperation.",Laakhaven-Oost,Flat,A,For rent: Flat Laakweg,https://www.pararius.com/apartment-for-rent/den-haag/5c255add/laakweg,Upholstered,61.0,,,1,1,2,30-12-2024,,1336.0,"Staircase-accessed flat, Corridor flat",,"Includes: Electricity, Service costs, Water",,For rent,2020
1073 AA (Oude Pijp),Inter Immo Amsterdam,https://www.pararius.com/real-estate-agents/amsterdam/inter-immo-amsterdam,,Not present,Amsterdam,Existing building,,"Description 

                                                         Apartment for rent in Amsterdam with 2 bedrooms in the Oude Pijp district.",Oude Pijp,Flat,C,For rent: Flat Eerste Van der Helststraat,https://www.pararius.com/apartment-for-rent/amsterdam/6bcdda25/eerste-van-der-helststraat,Furnished,79.0,,,1,2,3,30-12-2024,,2500.0,Mezzanine,,,,For rent,1881
1079 VN (Rijnbuurt),The Rental Agency Amsterdam,https://www.pararius.com/real-estate-agents/amsterdam/the-rental-agency-amsterdam,06-01-2025,Present,Amsterdam,Existing building,5000.0,"Description 

                                                         THE APARTMENT IS NOT SUITABLE FOR SHARING 
On  the Waverstraat, we offer this unfurnished apartment with two bedrooms, a balcony, and a rooftop terrace. 
 LAYOUT 
The apartment is located on the third floor and can be reached via the communal staircase. From the hallway with glass doors, you enter the open kitchen, which is equipped with modern kitchen appliances, including a fridge, freezer, dishwasher, gas stove, microwave, and oven. The open kitchen flows into the living room, which overlooks Waverstraat. 
The balcony is connected to the open kitchen and extends to one of the two bedrooms. The bathroom features a double sink, a walk-in shower, and a bathtub. Additionally, there is a separate toilet. An internal staircase in the hallway leads you to the spacious rooftop terrace with stunning views! 
 AREA 
The Waverstraat is located in the Rivierenbuurt, a quiet neighborhood with many amenities. In the immediate area, you’ll find various shops, supermarkets, and dining options, including local favorites on Maasstraat and Rijnstraat. For recreation, Martin Luther King Park and Amstelpark are nearby, both ideal for a walk. The Amstel River is within walking distance, where you can enjoy a beautiful view of the water. The location is easily accessible by public transport. Several tram and bus lines connect the neighborhood to other parts of the city, and both Amsterdam RAI station and Europaplein metro station are just a short distance away. By car, you have quick access to the A2 and A10 highways. 
 STREET NAME 
The Waverstraat is named after the Waver River, a tributary of the Amstel that flows through the Groene Hart in North Holland. 
 This non-binding rental information has been compiled by our office with the utmost care based on the information provided to us by the landlord. Therefore, we cannot provide any guarantees, nor can we accept any liability for this information in any way. All dimensions are indicative and The Rental Agency Amsterdam accepts no liability for deviations.",Rijnbuurt,Flat,D,For rent: Flat Waverstraat 62 3,https://www.pararius.com/apartment-for-rent/amsterdam/fe5cb269/waverstraat,Shell,81.0,,,1,2,3,30-12-2024,,2500.0,"Upstairs apartment, Apartment",,,,For rent,1922
4131 NT (Vianen buitengebied zuid),ViaDaan,https://www.pararius.com/real-estate-agents/eindhoven/viadaan,06-01-2025,Not present,Vianen,Existing building,3900.0,"Description 

                                                         Delightful house with garden for rent in Vianen with 5 bedrooms in the Vianen buitengebied zuid district.",Vianen buitengebied zuid,House,G,For rent: House Bolgerijsekade 5,https://www.pararius.com/house-for-rent/vianen/7248ea47/bolgerijsekade,Shell,212.0,,,1,5,6,30-12-2024,,1950.0,"Mid-terrace house, Family home",Temporary rental,Excludes: Service costs,,For rent,1936
1624 BJ (Hoorn Noord - Buurt 12 00),Haring Expat Housing Services,https://www.pararius.com/real-estate-agents/wognum/haring-expat-housing-services,06-01-2025,Not present,Hoorn,Existing building,,"Description 

                                                         Lovely house with garden for rent in Hoorn with 3 bedrooms in the Hoorn Noord - Buurt 12 00 district.",Hoorn Noord - Buurt 12 00,House,F,For rent: House Drieboomlaan 275,https://www.pararius.com/house-for-rent/hoorn-nh/ef585f05/drieboomlaan,Upholstered or furnished,90.0,,,1,3,4,30-12-2024,,1850.0,"Corner house, Family home",,,,For rent,1930
1072 SC (Nieuwe Pijp),First Class Housing,https://www.pararius.com/real-estate-agents/amstelveen/first-class-housing,06-01-2025,Present,Amsterdam,Existing building,,"Description 

                                                         Fully furnished two bedroom apartment, located in Amsterdam De Pijp, with balcony 
 This lovely apartment comes fully furnished and is located on the second floor of a well kept apartment complex. It has two good sized bedrooms and a lovely balcony. 
 Located in the heart of Amsterdam, there is public transportation, supermarkets, restaurants and many other amenities nearby. Everything you need is within walking distance, including the Albert Cuyp market and Sarphatipark. 
 Layout: 
Entrance into the hall of the apartment with access to all rooms. 
- Open and bright living room 
- Fully equipped kitchen 
- Two spacious bedrooms 
- Bathroom with bathtub, walk-in shower, wash basin and toilet 
 - Balcony facing West 
 Features: 
- Fully furnished 
- Two bedrooms 
 - Balcony 
- Total living space 76 SQM 
 Location: 
Amsterdam De Pijp 
 Public transportation: 
 Tram 3, 12 and 24 
Metro 52 
 High way connections to: 
A10 
 Tenancy agreements subject to owner’s consent 
Measurements not conform NEN 2580 
 For more information about this property or about our portfolio in general, please call our office or visit our website. Our team of specialists will be glad to be of service.",Nieuwe Pijp,Flat,D,For rent: Flat Karel du Jardinstraat,https://www.pararius.com/apartment-for-rent/amsterdam/628eee11/karel-du-jardinstraat,Furnished,76.0,,12,1,2,3,30-12-2024,No,3100.0,"Upstairs apartment, Apartment",Unlimited period,Excludes: Service costs,No,For rent,1922
2312 LN (Havenwijk-Noord),Tweelwonen.nl Leiden,https://www.pararius.com/real-estate-agents/leiden/tweelwonen-nl-leiden,06-01-2025,Not present,Leiden,Existing building,1787.0,"Description 

                                                         PAY ATTENTION! RESPOND ONLY THROUGH THE BANNER PLAN A VIEWING! 
 Available per January 1st 2025, this fully transformed, luxuriously finished studio apartments on the Oude Herengracht in Leiden. Due to its location, the apartment is ideal for those who want to live within walking distance of the center but who want to enjoy the tranquility that living on a canal offers. 
 Entrance on the street side through the common hall you can reach the front doors. Entrance apartment in the hall from which the sleeping area (6m2) and the bathroom (4m2), which has a walk-in shower, sink with mirror cabinet, towel radiator and floating toilet, can be entered. The living room (25m2) is located at the front and offers plenty of natural daylight through the large windows. The living room has an open kitchen which is equipped with a built-in fridge with freezer compartment, a combi oven/microwave, a 4-burner induction hob, a built-in stainless steel extractor hood, a built-in dishwasher, a sink with mixer tap and sufficient storage space. 
 In the communal hall there is an indoor bicycle shed which is shared with the other apartments and studio's. 
The apartment is offered for €1277.37 incl. PVC-flooring, curtains, net curtains, appliances, advanced payment for usage of G/W/E/Wifi internet/service costs based on 1 person. Excluding municipal taxes. 
 PAY ATTENTION! RESPOND ONLY THROUGH THE BANNER PLAN A VIEWING!",Havenwijk-Noord,Flat,C,For rent: Flat Oude Herengracht 18 M,https://www.pararius.com/apartment-for-rent/leiden/46f6a84d/oude-herengracht,Upholstered,38.0,,,1,1,2,30-12-2024,,893.0,"Downstairs apartment, Apartment",,,,Under option,2021
